PERSON ID;OTHER PERSON ID;SEQUENCE;MODE;AVG;MAX;MIN
ID053;ID014;01;looking_around;0.919072;1.026884;0.785303
ID053;ID001;02;looking_around;0.853557;1.045531;0.674505
ID053;ID043;01;looking_around;0.974021;1.122142;0.827541
ID053;ID059;01;looking_around;0.985478;1.163860;0.855407
ID054;ID043;01;frontal_gaze;0.875289;1.035344;0.764332
ID054;ID065;01;frontal_gaze;0.926587;1.043225;0.814573
ID054;ID042;02;looking_around;0.961162;1.082263;0.849237
ID054;ID015;01;frontal_gaze;0.953534;1.027395;0.851792
ID054;ID037;01;looking_around_with_occlusion;0.936258;1.079218;0.820798
ID054;ID047;01;looking_around_with_occlusion;0.923684;1.060747;0.765218
ID055;ID015;02;frontal_gaze;0.901325;1.023698;0.778564
ID055;ID011;01;looking_around;0.889837;1.032408;0.786407
ID055;ID025;02;looking_around;0.935923;1.093518;0.801305
ID055;ID042;02;looking_around_with_occlusion;0.963159;1.068609;0.855670
ID055;ID033;02;looking_around_with_occlusion;0.901276;1.036893;0.765174
ID055;ID008;02;frontal_gaze;0.971517;1.117444;0.814963
ID056;ID013;02;frontal_gaze;0.917052;1.012874;0.822432
ID056;ID049;01;looking_around;0.943029;1.074960;0.827571
ID056;ID014;01;looking_around;0.891328;1.005740;0.791395
ID056;ID032;01;looking_around_with_occlusion;0.944203;1.032472;0.843505
ID056;ID022;01;frontal_gaze;0.904796;1.053632;0.742614
ID056;ID065;02;looking_around_with_occlusion;0.981330;1.077894;0.871968
ID057;ID030;02;looking_around;0.891603;1.044608;0.770780
ID057;ID064;01;looking_around_with_occlusion;0.907271;1.030341;0.808257
ID057;ID028;01;frontal_gaze;0.962967;1.093727;0.897080
ID057;ID012;01;frontal_gaze;0.908980;1.096599;0.793897
ID057;ID047;02;looking_around_with_occlusion;0.934723;1.069748;0.778973
ID057;ID032;02;looking_around_with_occlusion;0.953411;1.044416;0.865566
ID058;ID047;01;looking_around_with_occlusion;0.947513;1.107976;0.820070
ID058;ID031;01;frontal_gaze;0.890041;1.046508;0.803368
ID058;ID028;01;frontal_gaze;0.939097;1.026774;0.835385
ID058;ID037;01;looking_around;0.943210;1.063746;0.827344
ID058;ID018;02;looking_around;0.954285;1.052616;0.862000
ID058;ID009;01;looking_around;0.956690;1.015042;0.882373
ID059;ID025;01;frontal_gaze;0.870342;0.988864;0.745887
ID059;ID053;02;looking_around_with_occlusion;0.892817;1.001065;0.775799
ID059;ID014;02;looking_around_with_occlusion;0.977757;1.113576;0.827589
ID059;ID007;02;looking_around;0.920484;1.038296;0.822475
ID059;ID062;01;looking_around_with_occlusion;0.961627;1.055879;0.874045
ID059;ID051;01;looking_around_with_occlusion;0.930345;1.057017;0.800471
ID060;ID027;02;looking_around_with_occlusion;0.967348;1.065724;0.861725
ID060;ID040;01;looking_around_with_occlusion;0.945690;1.109475;0.832239
ID060;ID017;01;looking_around;0.937464;1.054870;0.840166
ID060;ID013;02;looking_around_with_occlusion;0.995331;1.115464;0.886540
ID060;ID037;02;looking_around_with_occlusion;0.918989;1.025717;0.830909
ID060;ID016;02;frontal_gaze;0.935384;1.023720;0.833242
ID061;ID019;01;looking_around_with_occlusion;0.921567;1.040342;0.790929
ID061;ID009;02;looking_around_with_occlusion;0.935670;1.059347;0.819374
ID061;ID015;01;looking_around;0.918045;1.028569;0.829946
ID061;ID048;02;frontal_gaze;0.890610;1.007563;0.787567
ID061;ID018;01;looking_around_with_occlusion;0.875232;0.998887;0.697539
ID061;ID004;01;frontal_gaze;0.992608;1.059674;0.933427
ID062;ID046;02;looking_around_with_occlusion;0.797250;0.936540;0.684042
ID062;ID014;01;looking_around;0.846124;1.017097;0.735673
ID062;ID017;02;frontal_gaze;0.781757;1.000519;0.664843
ID062;ID053;02;looking_around_with_occlusion;0.914661;1.135211;0.738837
ID062;ID024;02;looking_around_with_occlusion;0.952780;1.067590;0.834563
ID062;ID012;01;looking_around;0.944511;1.106041;0.805813
ID063;ID048;01;looking_around_with_occlusion;0.864113;1.006376;0.724396
ID063;ID065;02;looking_around;0.959837;1.051409;0.847291
ID063;ID046;01;looking_around;0.948836;1.067511;0.837156
ID063;ID012;02;looking_around_with_occlusion;0.916196;1.045768;0.814159
ID063;ID016;02;looking_around_with_occlusion;0.934582;1.096083;0.747032
ID063;ID018;01;looking_around;0.978431;1.144199;0.853925
ID064;ID025;01;looking_around;0.902845;1.047875;0.747107
ID064;ID057;02;looking_around_with_occlusion;0.929439;1.055657;0.811201
ID064;ID014;02;looking_around_with_occlusion;0.960172;1.138334;0.820446
ID064;ID029;01;looking_around;0.836441;1.011182;0.717587
ID064;ID043;02;looking_around;0.913716;1.026536;0.802004
ID064;ID042;02;frontal_gaze;0.986779;1.101704;0.892196
ID065;ID032;01;looking_around_with_occlusion;0.808153;0.960380;0.683773
ID065;ID048;01;looking_around;0.893411;1.086610;0.785104
ID065;ID015;02;looking_around_with_occlusion;0.959232;1.080422;0.803416
ID065;ID043;02;looking_around;0.887082;1.060754;0.756183
ID065;ID042;02;looking_around_with_occlusion;0.920689;1.061115;0.821641
ID065;ID063;02;looking_around_with_occlusion;0.945415;1.083252;0.828407
