VIDEO ID;PERSON ID;AVG;MAX;MIN
P1E_S4_C3;0014;0.81625;0.7898000000000001;0.8382000000000001
P1E_S4_C3;0004;0.7988;0.70755;0.8394
P1L_S1_C1;0014;0.80525;0.7039500000000001;0.8657
P1L_S1_C1;0020;0.8566;0.7675;0.916
P1L_S1_C1;0006;0.83445;0.73375;0.8962
P1L_S1_C1;0011;0.85855;0.79225;0.91625
P1L_S1_C1;0005;0.87625;0.83555;0.9264
P1L_S1_C1;0027;0.8557;0.80855;0.9062
P1L_S1_C1;0026;0.84395;0.7688;0.88535
P1L_S1_C1;0018;0.8117;0.75935;0.87225
P1L_S1_C1;0009;0.8445;0.80255;0.88435
P1L_S1_C1;0021;0.8507;0.7936;0.9086
P1L_S1_C1;0019;0.8527;0.7577;0.9155
P1L_S1_C1;0007;0.84535;0.7843;0.89805
P1L_S1_C1;0012;0.84285;0.7891;0.88085
P1L_S1_C1;0015;0.78425;0.7224999999999999;0.8403
P1L_S1_C1;0017;0.8874;0.8291999999999999;0.9437
P1L_S1_C1;0016;0.8712;0.82595;0.91505
P1L_S1_C1;0013;0.87435;0.80335;0.9206
P1L_S1_C1;0004;0.81175;0.75755;0.8694999999999999
P1L_S1_C1;0001;0.8552500000000001;0.7873;0.9094
P1L_S1_C1;0003;0.87065;0.8022;0.93155
P1L_S1_C1;0022;0.8262;0.7537;0.8713
P1L_S1_C1;0010;0.84615;0.7992;0.90885
P1L_S1_C1;0024;0.8697;0.7754;0.92505
P1L_S1_C1;0025;0.8454;0.7616;0.9077999999999999
P1L_S1_C1;0023;0.8371;0.7612;0.91235
P1L_S1_C2;0014;0.8254;0.74075;0.88705
P1L_S1_C2;0020;0.83455;0.75405;0.8835
P1L_S1_C2;0006;0.83665;0.7783;0.8899
P1L_S1_C2;0011;0.84895;0.7749;0.89665
P1L_S1_C2;0005;0.86095;0.81515;0.91075
P1L_S1_C2;0027;0.85475;0.8215;0.9106
P1L_S1_C2;0026;0.8512;0.78955;0.8918
P1L_S1_C2;0018;0.79525;0.7371;0.86155
P1L_S1_C2;0009;0.8512500000000001;0.8100499999999999;0.88465
P1L_S1_C2;0021;0.8423;0.7868999999999999;0.8869
P1L_S1_C2;0019;0.85355;0.80425;0.9155
P1L_S1_C2;0007;0.83275;0.7545999999999999;0.87
P1L_S1_C2;0012;0.84395;0.7851;0.8896
P1L_S1_C2;0015;0.7733;0.67275;0.81625
P1L_S1_C2;0017;0.8729;0.7866;0.90035
P1L_S1_C2;0016;0.86515;0.84005;0.90195
P1L_S1_C2;0013;0.8684499999999999;0.77045;0.9116
P1L_S1_C2;0004;0.7911;0.7303999999999999;0.85765
P1L_S1_C2;0001;0.8434;0.7555499999999999;0.88895
P1L_S1_C2;0003;0.8505;0.79855;0.9026
